SAP+NOME,UF,Semana,Ano,preço2,Mg %,Margem Líquida Real %,Preço,Vendas Reais Qtde,Vendas Reais $,Margem Líquida Real $,Venda Líquida Real $,CMV,CMV/QTD
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AC,2,2017,4.99,0.5163043478260865,51.630434782608646,4.99,2.0,9.98,3.8,7.36,3.56,1.78
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AC,2,2018,3.99,0.341836734693878,34.1836734693878,3.99,4.0,15.96,4.02,11.76,7.74,1.935
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AC,3,2017,4.99,0.508152173913043,50.8152173913043,4.99,3.0,14.97,5.61,11.040000000000001,5.43,1.8099999999999998
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AC,3,2018,3.99,0.340136054421769,34.0136054421769,3.99,1.0,3.99,1.0,2.94,1.94,1.94
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AC,5,2018,5.99,0.520987654320988,52.0987654320988,5.49,1.0,5.49,2.11,4.05,1.94,1.94
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AC,6,2017,2.99,0.177272727272727,17.7272727272727,2.99,1.0,2.99,0.39,2.2,1.81,1.81
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AC,6,2018,5.99,0.522811344019729,52.2811344019729,5.49,2.0,10.98,4.24,8.11,3.87,1.935
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AC,7,2018,3.99,0.340136054421769,34.0136054421769,3.99,3.0,11.97,3.0,8.82,5.82,1.9400000000000002
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AC,8,2018,3.99,0.340136054421769,34.0136054421769,3.99,2.0,7.98,2.0,5.88,3.88,1.94
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AC,9,2017,4.99,0.508152173913043,50.8152173913043,4.99,1.0,4.99,1.87,3.68,1.81,1.81
