SAP+NOME,UF,Semana,Mes,Ano,preço2,Mg %,Margem Líquida Real %,Preço,Vendas Reais Qtde,Vendas Reais $,Margem Líquida Real $,Venda Líquida Real $,CMV,CMV/QTD,Região,DPPsic,Cont,Produto,Correlacao,NObs,Grupo
T VISITA P BORDA DESIRE AZUL 6238,AL,1,1,2017,4.74,0.4823303224477445,48.23303224477445,4.74,7.0,33.93,12.29,24.73,12.44,1.7771428571428571,Nordeste,1,1,T VISITA P BORDA DESIRE AZUL 6238,-0.1401439818580602,26.0,7.0
T VISITA P BORDA DESIRE AGUA 6243,AL,1,1,2017,4.99,0.5356328120220311,53.56328120220311,4.99,7.0,34.93,13.47,25.44,11.97,1.7100000000000002,Nordeste,1,1,T VISITA P BORDA DESIRE AGUA 6243,0.0007497934657309,28.0,7.0
AMACIANTE COMFORT CONCENTRADO 500ML,AL,1,1,2017,7.99,0.4041444511551392,40.414445115513935,7.966190476190476,99.0,790.01,289.63,716.9300000000001,427.3,4.316161616161616,Nordeste,0,1,AMACIANTE COMFORT CONCENTRADO 500ML,-0.5374176303033321,44.0,0.0
T VISITA P BORDA DESIRE AZUL 6238,AM,1,1,2017,4.74,0.587795249097149,58.7795249097149,4.74,4.0,18.96,9.18,15.54,6.36,1.59,Norte,1,1,T VISITA P BORDA DESIRE AZUL 6238,-0.6726860785614975,38.0,7.0
T VISITA P BORDA DESIRE AGUA 6243,AM,1,1,2017,4.99,0.6219583187798347,62.19583187798347,4.99,15.0,74.85000000000001,38.05,61.35,23.3,1.5533333333333332,Norte,1,1,T VISITA P BORDA DESIRE AGUA 6243,-0.1848391684102495,46.0,7.0
AMACIANTE COMFORT CONCENTRADO 500ML,AM,1,1,2017,7.99,0.5667720765383428,56.67720765383429,7.972142857142857,80.0,636.2,358.57,636.2,277.63,3.470375,Norte,0,1,AMACIANTE COMFORT CONCENTRADO 500ML,-0.4496884165973329,44.0,0.0
T VISITA P BORDA DESIRE AZUL 6238,AP,1,1,2017,4.99,0.562460093423396,56.2460093423396,4.74,3.0,13.97,5.66,10.18,4.52,1.5066666666666666,Norte,0,1,T VISITA P BORDA DESIRE AZUL 6238,-0.0587385975586891,25.0,7.0
AMACIANTE COMFORT CONCENTRADO 500ML,AP,1,1,2017,7.99,0.4990832424806176,49.90832424806174,7.99,57.0,455.43,206.24,413.34,207.1,3.633333333333333,Norte,1,1,AMACIANTE COMFORT CONCENTRADO 500ML,-0.7217463556412097,42.0,0.0
T VISITA P BORDA DESIRE AZUL 6238,BA,1,1,2017,4.99,0.4554952954327284,45.54952954327285,4.506450216450217,55.0,246.45,81.46000000000001,179.48,98.02,1.782181818181818,Nordeste,0,1,T VISITA P BORDA DESIRE AZUL 6238,-0.552795815448773,52.0,7.0
T VISITA P BORDA DESIRE AGUA 6243,BA,1,1,2017,4.99,0.4892586649939504,48.92586649939504,4.864149659863946,61.0,298.39,107.0,217.38,110.38,1.809508196721312,Nordeste,0,1,T VISITA P BORDA DESIRE AGUA 6243,-0.3492851168989713,51.0,7.0
AMACIANTE COMFORT CONCENTRADO 500ML,BA,1,1,2017,7.99,0.4378423242902087,43.78423242902087,7.967270691647519,809.0,6446.11,2055.22,4695.4800000000005,2630.52,3.251569839307787,Nordeste,0,1,AMACIANTE COMFORT CONCENTRADO 500ML,-0.6509435692172184,48.0,0.0
T VISITA P BORDA DESIRE AZUL 6238,CE,1,1,2017,4.99,0.49916075816555,49.916075816555,4.8087074829931975,28.0,132.72,48.22,98.07,49.85,1.7803571428571427,Nordeste,0,1,T VISITA P BORDA DESIRE AZUL 6238,-0.4241575282502758,43.0,7.0
T VISITA P BORDA DESIRE AGUA 6243,CE,1,1,2017,4.99,0.5139732526147388,51.39732526147389,4.948333333333333,18.0,88.82000000000001,33.71,65.65,31.94,1.7744444444444445,Nordeste,0,1,T VISITA P BORDA DESIRE AGUA 6243,-0.5062498244567961,49.0,7.0
AMACIANTE COMFORT CONCENTRADO 500ML,CE,1,1,2017,7.99,0.4351522373015318,43.51522373015319,7.981428571428572,329.0,2625.71,1037.76,2382.94,1345.18,4.088693009118542,Nordeste,0,1,AMACIANTE COMFORT CONCENTRADO 500ML,-0.6470182868851706,42.0,0.0
JG CAMA QUEEN PRATA 150FIOS MALIBU SANTI,CE,1,1,2017,129.99,0.416666666666667,41.6666666666667,129.99,3.0,389.97,119.85,287.64,167.79,55.93,Nordeste,1,1,JG CAMA QUEEN PRATA 150FIOS MALIBU SANTI,0.0570032230786749,44.0,4.0
T VISITA P BORDA DESIRE AZUL 6238,DF,1,1,2017,4.99,0.5087293844642593,50.872938446425934,4.962222222222222,24.0,118.76,43.98,86.64,42.66,1.7775,Centro-Oeste,0,1,T VISITA P BORDA DESIRE AZUL 6238,-0.5363074271321384,44.0,7.0
T VISITA P BORDA DESIRE AGUA 6243,DF,1,1,2017,4.99,0.507488758910596,50.7488758910596,4.99,27.0,134.73,49.72,98.17,48.45,1.7944444444444445,Centro-Oeste,1,1,T VISITA P BORDA DESIRE AGUA 6243,-0.439145268615243,47.0,7.0
AMACIANTE COMFORT CONCENTRADO 500ML,DF,1,1,2017,7.99,0.357797023364701,35.7797023364701,7.960443349753695,301.0,2392.99,776.64,2172.49,1395.85,4.637375415282392,Centro-Oeste,0,1,AMACIANTE COMFORT CONCENTRADO 500ML,-0.3803056270683444,36.0,0.0
T VISITA P BORDA DESIRE AZUL 6238,ES,1,1,2017,4.74,0.4417732524158632,44.17732524158632,4.298333333333332,11.0,47.89,15.94,35.37,19.43,1.7663636363636364,Sudeste,0,1,T VISITA P BORDA DESIRE AZUL 6238,-0.3274709434971766,50.0,7.0
T VISITA P BORDA DESIRE AGUA 6243,ES,1,1,2017,4.99,0.5186521400197193,51.86521400197193,4.99,7.0,34.93,13.37,25.8,12.43,1.7757142857142856,Sudeste,1,1,T VISITA P BORDA DESIRE AGUA 6243,-0.4543765506098516,32.0,7.0
JG CAMA QUEEN PRATA 150FIOS MALIBU SANTI,ES,1,1,2017,129.99,0.416666666666667,41.6666666666667,129.99,2.0,259.98,79.9,191.76,111.86,55.93,Sudeste,1,1,,,,4.0
T VISITA P BORDA DESIRE AZUL 6238,GO,1,1,2017,4.590000000000001,0.4388253272073648,43.88253272073648,4.290000000000001,11.0,47.89,15.88,35.4,19.52,1.7745454545454544,Centro-Oeste,0,1,T VISITA P BORDA DESIRE AZUL 6238,-0.4914613427434297,51.0,7.0
T VISITA P BORDA DESIRE AGUA 6243,GO,1,1,2017,4.99,0.5109213601369661,51.09213601369661,4.962222222222222,18.0,88.82000000000001,33.36,65.63,32.27,1.7927777777777776,Centro-Oeste,0,1,T VISITA P BORDA DESIRE AGUA 6243,-0.4112324120693986,47.0,7.0
AMACIANTE COMFORT CONCENTRADO 500ML,GO,1,1,2017,7.99,0.4440187415911732,44.40187415911733,7.94993842364532,164.0,1302.36,426.14,961.09,534.95,3.26189024390244,Centro-Oeste,0,1,AMACIANTE COMFORT CONCENTRADO 500ML,-0.7063073975267052,46.0,0.0
T VISITA P BORDA DESIRE AZUL 6238,MA,1,1,2017,4.99,0.4929810006764408,49.29810006764408,4.823333333333333,19.0,89.81,31.85,65.42,33.57,1.766842105263158,Nordeste,0,1,T VISITA P BORDA DESIRE AZUL 6238,-0.4258157950431133,45.0,7.0
T VISITA P BORDA DESIRE AGUA 6243,MA,1,1,2017,4.99,0.5037885977981506,50.37885977981505,4.934444444444445,22.0,108.78,39.98,79.24,39.26,1.7845454545454544,Nordeste,0,1,T VISITA P BORDA DESIRE AGUA 6243,-0.309122691830243,50.0,7.0
AMACIANTE COMFORT CONCENTRADO 500ML,MA,1,1,2017,7.99,0.4378920629641467,43.78920629641467,7.985428571428572,146.0,1165.74,371.71,848.4,476.69,3.265,Nordeste,0,1,AMACIANTE COMFORT CONCENTRADO 500ML,-0.6269433635615719,49.0,0.0
T VISITA P BORDA DESIRE AZUL 6238,MG,1,1,2017,4.561428571428571,0.4205954726713288,42.059547267132885,4.210238095238094,31.0,132.69,41.72,96.71,54.99,1.7738709677419355,Sudeste,0,1,T VISITA P BORDA DESIRE AZUL 6238,-0.5651624929368376,51.0,7.0
T VISITA P BORDA DESIRE AGUA 6243,MG,1,1,2017,4.99,0.4781308323362273,47.81308323362273,4.6790109890109886,37.0,174.63,61.46,127.26,65.8,1.7783783783783782,Sudeste,0,1,T VISITA P BORDA DESIRE AGUA 6243,-0.3825100040941354,47.0,7.0
AMACIANTE COMFORT CONCENTRADO 500ML,MG,1,1,2017,8.275714285714285,0.3878176700275468,38.78176700275469,7.98923358180178,632.0,5048.88,1772.57,4582.21,2795.73,4.423623417721519,Sudeste,0,1,AMACIANTE COMFORT CONCENTRADO 500ML,-0.6902713553287987,46.0,0.0
JG CAMA QUEEN PRATA 150FIOS MALIBU SANTI,MG,1,1,2017,129.99,0.408648762951998,40.8648762951998,129.99,5.0,649.95,193.25,472.9,279.65,55.92999999999999,Sudeste,1,1,JG CAMA QUEEN PRATA 150FIOS MALIBU SANTI,-0.3333560239262353,26.0,4.0
T VISITA P BORDA DESIRE AZUL 6238,MS,1,1,2017,4.99,0.4993302619310482,49.93302619310482,4.701904761904762,18.0,81.82,29.62,60.42,30.8,1.7111111111111112,Centro-Oeste,0,1,T VISITA P BORDA DESIRE AZUL 6238,-0.5345837452009372,37.0,7.0
T VISITA P BORDA DESIRE AGUA 6243,MS,1,1,2017,4.790000000000001,0.4904405004678338,49.044050046783376,4.790000000000001,9.0,43.91,16.38,32.44,16.06,1.7844444444444445,Centro-Oeste,1,1,T VISITA P BORDA DESIRE AGUA 6243,-0.4179779896399082,42.0,7.0
AMACIANTE COMFORT CONCENTRADO 500ML,MS,1,1,2017,7.99,0.3846213630688133,38.46213630688133,7.99,275.0,2197.25,766.94,1994.06,1227.12,4.462254545454545,Centro-Oeste,1,1,AMACIANTE COMFORT CONCENTRADO 500ML,-0.4640813822446622,38.0,0.0
T VISITA P BORDA DESIRE AZUL 6238,MT,1,1,2017,4.847142857142857,0.4863018546890458,48.630185468904585,4.728095238095238,20.0,95.8,35.07,70.63,35.56,1.778,Centro-Oeste,0,1,T VISITA P BORDA DESIRE AZUL 6238,-0.3510514955680014,46.0,7.0
T VISITA P BORDA DESIRE AGUA 6243,MT,1,1,2017,4.99,0.5033715318220541,50.3371531822054,4.961428571428572,18.0,88.82000000000001,32.68,65.49000000000001,32.81,1.8227777777777776,Centro-Oeste,0,1,T VISITA P BORDA DESIRE AGUA 6243,-0.491856627225178,38.0,7.0
AMACIANTE COMFORT CONCENTRADO 500ML,MT,1,1,2017,8.132857142857143,0.4478653226188265,44.786532261882655,7.997936507936509,208.0,1662.92,548.93,1226.1,677.17,3.255625,Centro-Oeste,0,1,AMACIANTE COMFORT CONCENTRADO 500ML,-0.3623290379670656,46.0,0.0
T VISITA P BORDA DESIRE AZUL 6238,PA,1,1,2017,4.823333333333333,0.4791613431237868,47.91613431237869,4.656005291005292,43.0,201.57,72.14,148.6,76.46,1.7781395348837208,Norte,0,1,T VISITA P BORDA DESIRE AZUL 6238,-0.3168887165527735,51.0,7.0
T VISITA P BORDA DESIRE AGUA 6243,PA,1,1,2017,4.99,0.5018276622212702,50.182766222127,4.919042386185245,46.0,225.54,83.51,166.31,82.8,1.8,Norte,0,1,T VISITA P BORDA DESIRE AGUA 6243,-0.4418481844429728,48.0,7.0
AMACIANTE COMFORT CONCENTRADO 500ML,PA,1,1,2017,7.99,0.4304216631334354,43.04216631334354,7.980530950151523,542.0,4324.18,1689.05,3924.32,2231.12,4.116457564575645,Norte,0,1,AMACIANTE COMFORT CONCENTRADO 500ML,-0.6341045183035168,46.0,0.0
T VISITA P BORDA DESIRE AZUL 6238,PB,1,1,2017,4.99,0.5045865870173263,50.458658701732624,4.890000000000001,10.0,48.900000000000006,18.0,35.57,17.57,1.757,Nordeste,0,1,T VISITA P BORDA DESIRE AZUL 6238,-0.4414491979285311,34.0,7.0
T VISITA P BORDA DESIRE AGUA 6243,PB,1,1,2017,4.823333333333333,0.4723991707476684,47.23991707476685,4.712222222222222,11.0,51.89,18.18,37.74,19.56,1.7781818181818183,Nordeste,0,1,T VISITA P BORDA DESIRE AGUA 6243,-0.2649437934153625,32.0,7.0
AMACIANTE COMFORT CONCENTRADO 500ML,PB,1,1,2017,7.99,0.4415048335602848,44.15048335602848,7.99,128.0,1022.72,328.39,743.83,415.44,3.245625,Nordeste,1,1,AMACIANTE COMFORT CONCENTRADO 500ML,-0.6563258946556361,47.0,0.0
T VISITA P BORDA DESIRE AZUL 6238,PE,1,1,2017,4.418571428571428,0.4305112977901412,43.051129779014126,4.311428571428571,21.0,88.79,27.48,64.71000000000001,37.23,1.7728571428571431,Nordeste,0,1,T VISITA P BORDA DESIRE AZUL 6238,-0.4739613009985585,48.0,7.0
T VISITA P BORDA DESIRE AGUA 6243,PE,1,1,2017,4.99,0.504975602225491,50.497560222549104,4.942380952380953,28.0,138.72,51.14,101.07,49.93,1.7832142857142856,Nordeste,0,1,T VISITA P BORDA DESIRE AGUA 6243,-0.3955581937204879,50.0,7.0
AMACIANTE COMFORT CONCENTRADO 500ML,PE,1,1,2017,7.99,0.4381494156717837,43.81494156717837,7.979790411419098,403.0,3215.57,1025.07,2340.13,1315.06,3.263176178660049,Nordeste,0,1,AMACIANTE COMFORT CONCENTRADO 500ML,-0.6727317117910654,46.0,0.0
T VISITA P BORDA DESIRE AZUL 6238,PI,1,1,2017,4.823333333333333,0.4938675899727483,49.38675899727483,4.823333333333333,8.0,38.92,14.2,28.380000000000003,14.18,1.7725,Nordeste,1,1,T VISITA P BORDA DESIRE AZUL 6238,-0.3491301603280366,26.0,7.0
T VISITA P BORDA DESIRE AGUA 6243,PI,1,1,2017,4.99,0.5092880604244242,50.928806042442375,4.99,4.0,19.96,7.4,14.53,7.13,1.7825,Nordeste,1,1,T VISITA P BORDA DESIRE AGUA 6243,-0.0891545686056266,21.0,7.0
AMACIANTE COMFORT CONCENTRADO 500ML,PI,1,1,2017,7.99,0.4364829517511051,43.64829517511051,7.972142857142857,50.0,398.5,126.74,290.39,163.65,3.273,Nordeste,0,1,AMACIANTE COMFORT CONCENTRADO 500ML,-0.610208987854626,44.0,0.0
T VISITA P BORDA DESIRE AZUL 6238,PR,1,1,2017,4.99,0.4696541216114654,46.96541216114655,4.59375457875458,40.0,182.6,62.42,132.8,70.38,1.7594999999999998,Sul,0,1,T VISITA P BORDA DESIRE AZUL 6238,-0.4947161625032069,50.0,7.0
T VISITA P BORDA DESIRE AGUA 6243,PR,1,1,2017,4.99,0.4818750521547219,48.187505215472186,4.701111111111112,21.0,96.79,33.17,70.39,37.22,1.7723809523809524,Sul,0,1,T VISITA P BORDA DESIRE AGUA 6243,-0.522606393643539,41.0,7.0
AMACIANTE COMFORT CONCENTRADO 500ML,PR,1,1,2017,7.99,0.3843944792930808,38.43944792930808,7.935913621262459,282.0,2231.98,775.5500000000001,2025.68,1250.13,4.433085106382978,Sul,0,1,AMACIANTE COMFORT CONCENTRADO 500ML,-0.8084088171940553,42.0,0.0
T VISITA P BORDA DESIRE AZUL 6238,RJ,1,1,2017,4.99,0.4652398371600744,46.52398371600744,4.707468725927375,78.0,364.22,119.01,257.95,138.94,1.7812820512820513,Sudeste,0,1,T VISITA P BORDA DESIRE AZUL 6238,-0.4033306623240599,49.0,7.0
T VISITA P BORDA DESIRE AGUA 6243,RJ,1,1,2017,4.99,0.4898491209728561,48.98491209728561,4.916234241948529,69.0,338.18,116.86,239.2,122.34,1.7730434782608695,Sudeste,0,1,T VISITA P BORDA DESIRE AGUA 6243,-0.0895418799658264,47.0,7.0
AMACIANTE COMFORT CONCENTRADO 500ML,RJ,1,1,2017,8.132857142857143,0.3735767313848063,37.35767313848063,7.9809228571968305,1585.0,12650.75,4273.759999999999,11450.49,7118.18,4.490965299684543,Sudeste,0,1,AMACIANTE COMFORT CONCENTRADO 500ML,-0.4801241067831697,46.0,0.0
JG CAMA QUEEN PRATA 150FIOS MALIBU SANTI,RJ,1,1,2017,129.99,0.391897033620906,39.1897033620906,129.99,6.0,779.94,216.27,551.8399999999999,335.57,55.928333333333335,Sudeste,1,1,JG CAMA QUEEN PRATA 150FIOS MALIBU SANTI,-0.2386782667885283,27.0,4.0
T VISITA P BORDA DESIRE AZUL 6238,RN,1,1,2017,4.74,0.4707333318388012,47.07333318388012,4.615,10.0,46.900000000000006,16.49,34.17,17.68,1.768,Nordeste,0,1,T VISITA P BORDA DESIRE AZUL 6238,-0.3336053322825045,41.0,7.0
T VISITA P BORDA DESIRE AGUA 6243,RN,1,1,2017,4.99,0.5042780602482096,50.42780602482097,4.923333333333333,7.0,33.93,12.46,24.700000000000003,12.24,1.7485714285714289,Nordeste,0,1,T VISITA P BORDA DESIRE AGUA 6243,-0.1486426187384495,33.0,7.0
AMACIANTE COMFORT CONCENTRADO 500ML,RN,1,1,2017,7.99,0.433291374953852,43.3291374953852,7.98047619047619,140.0,1117.0,352.91,812.9,456.74,3.2624285714285715,Nordeste,0,1,AMACIANTE COMFORT CONCENTRADO 500ML,-0.667517832161318,48.0,0.0
