GrpProd;UF;Ano;Mes;Dia;QTD;Preço;CMV/QTD;DPPsic
0.0;AC;2017;1;20;4.0;7.99;4.385;1.0
0.0;AC;2017;1;22;5.0;7.99;4.384;1.0
0.0;AC;2017;3;31;4.0;4.99;4.32;1.0
0.0;AC;2017;4;2;3.0;4.99;4.316666666666666;1.0
0.0;AC;2017;4;5;3.0;4.99;4.32;1.0
0.0;AC;2017;6;24;3.0;7.989999999999999;6.579999999999999;1.0
0.0;AC;2017;7;1;2.0;9.99;6.375;1.0
0.0;AC;2017;8;3;5.0;7.99;6.581999999999999;1.0
0.0;AC;2017;8;4;4.0;7.99;6.585;1.0
0.0;AC;2017;8;7;3.0;7.989999999999999;6.583333333333333;1.0
0.0;AC;2017;8;8;3.0;7.989999999999999;6.586666666666667;1.0
0.0;AC;2017;8;16;20.0;8.59;6.586499999999999;0.0
0.0;AC;2017;8;17;3.0;8.32333333333333;6.583333333333333;0.0
0.0;AC;2017;8;29;4.0;7.99;6.585;1.0
0.0;AC;2017;8;31;7.0;7.99;6.585714285714286;1.0
0.0;AC;2017;9;2;4.0;9.99;6.5575;1.0
0.0;AC;2017;9;28;4.0;8.99;6.4325;1.0
0.0;AC;2017;10;1;5.0;8.790000000000001;6.508000000000001;1.0
0.0;AC;2017;10;10;2.0;9.99;6.43;1.0
0.0;AC;2017;10;12;3.0;8.99;4.816666666666666;1.0
0.0;AC;2017;10;21;11.0;7.99;4.821818181818182;1.0
0.0;AC;2017;10;22;3.0;7.989999999999999;4.873333333333333;1.0
0.0;AC;2017;10;23;5.0;7.99;4.746;1.0
0.0;AC;2017;10;24;4.0;7.99;4.8225;1.0
0.0;AC;2017;10;25;6.0;7.989999999999999;4.72;1.0
0.0;AC;2017;10;26;6.0;7.989999999999999;4.738333333333333;1.0
0.0;AC;2017;10;27;8.0;7.99;4.74375;1.0
0.0;AC;2017;10;28;23.0;7.99;4.784782608695652;1.0
0.0;AC;2017;10;29;8.0;7.99;4.75375;1.0
0.0;AC;2017;10;30;5.0;7.99;4.724;1.0
0.0;AC;2017;11;1;10.0;7.99;4.791;1.0
0.0;AC;2017;11;2;12.0;7.989999999999999;4.796666666666667;1.0
0.0;AC;2017;11;3;3.0;9.99;4.81;1.0
0.0;AC;2017;11;4;16.0;8.990000000000002;4.965624999999999;0.4375
0.0;AC;2017;11;5;13.0;8.99;4.700769230769231;1.0
0.0;AC;2017;11;6;11.0;9.262727272727274;4.750909090909091;1.0
0.0;AC;2017;11;8;5.0;8.99;4.708;1.0
0.0;AC;2017;11;9;9.0;9.99;4.82;1.0
0.0;AC;2017;11;11;4.0;8.99;4.71;1.0
0.0;AC;2017;11;13;3.0;8.99;4.713333333333334;1.0
0.0;AC;2017;11;14;9.0;7.989999999999999;4.783333333333333;1.0
0.0;AC;2017;11;16;9.0;7.989999999999999;4.748888888888889;1.0
0.0;AC;2017;11;17;9.0;7.989999999999999;4.811111111111111;1.0
0.0;AC;2017;11;19;3.0;7.989999999999999;4.706666666666666;1.0
0.0;AC;2017;11;21;7.0;7.99;4.704285714285715;1.0
0.0;AC;2017;11;22;4.0;7.99;4.705;1.0
0.0;AC;2017;11;24;5.0;6.99;5.034000000000001;1.0
0.0;AC;2017;11;27;3.0;7.989999999999999;5.036666666666666;1.0
0.0;AC;2017;11;28;22.0;7.180909090909092;4.882272727272727;0.7727272727272727
0.0;AC;2017;11;29;8.0;7.615;4.91625;1.0
0.0;AC;2017;11;30;7.0;7.99;5.047142857142857;1.0
0.0;AC;2017;12;1;7.0;7.561428571428571;4.8999999999999995;1.0
0.0;AC;2017;12;2;10.0;7.390000000000001;4.935;1.0
0.0;AC;2017;12;3;3.0;7.989999999999999;5.046666666666667;1.0
0.0;AC;2017;12;4;2.0;7.99;5.055;1.0
0.0;AC;2017;12;5;5.0;7.99;5.029999999999999;1.0
0.0;AC;2017;12;7;10.0;7.49;4.942;1.0
0.0;AC;2017;12;8;2.0;7.99;5.025;1.0
0.0;AC;2017;12;10;6.0;7.323333333333333;4.921666666666667;1.0
0.0;AC;2017;12;11;13.0;7.374615384615385;4.927692307692308;1.0
0.0;AC;2017;12;12;5.0;9.99;5.042;1.0
0.0;AC;2017;12;14;6.0;7.656666666666666;4.918333333333333;1.0
0.0;AC;2017;12;15;7.0;8.275714285714285;4.951428571428571;1.0
0.0;AC;2017;12;16;3.0;5.989999999999999;4.7;1.0
0.0;AC;2017;12;17;6.0;5.989999999999999;4.78;1.0
0.0;AC;2017;12;18;6.0;5.989999999999999;4.8566666666666665;1.0
0.0;AC;2017;12;19;3.0;9.99;5.0200000000000005;1.0
0.0;AC;2017;12;20;2.0;7.99;5.04;1.0
0.0;AC;2017;12;21;5.0;6.790000000000001;4.924;1.0
0.0;AC;2017;12;22;11.0;7.262727272727273;4.970909090909091;1.0
0.0;AC;2017;12;23;28.0;6.132857142857143;4.7175;1.0
0.0;AC;2017;12;26;23.0;5.99;4.694347826086957;1.0
0.0;AC;2017;12;27;40.0;6.0725;4.747;0.9
0.0;AC;2017;12;28;5.0;6.99;5.056;1.0
0.0;AC;2017;12;30;2.0;6.99;5.04;1.0
0.0;AC;2017;12;31;3.0;6.989999999999999;5.016666666666667;1.0
0.0;AL;2017;1;2;12.0;7.989999999999999;4.299166666666667;1.0
0.0;AL;2017;1;3;17.0;7.990000000000001;4.307058823529411;1.0
0.0;AL;2017;1;4;6.0;7.82333333333333;4.303333333333334;0.0
0.0;AL;2017;1;5;24.0;7.989999999999999;4.303333333333334;1.0
0.0;AL;2017;1;6;10.0;7.99;4.33;1.0
0.0;AL;2017;1;7;29.0;7.99;4.338620689655172;1.0
0.0;AL;2017;1;9;11.0;7.99;4.309090909090909;1.0
0.0;AL;2017;1;10;12.0;7.989999999999999;4.315833333333333;1.0
0.0;AL;2017;1;11;12.0;7.989999999999999;4.315833333333333;1.0
0.0;AL;2017;1;12;10.0;7.99;4.308;1.0
0.0;AL;2017;1;13;12.0;7.989999999999999;4.349166666666666;1.0
0.0;AL;2017;1;15;8.0;7.99;4.39875;1.0
0.0;AL;2017;1;16;10.0;7.99;4.348;1.0
0.0;AL;2017;1;17;13.0;7.99;4.330769230769231;1.0
0.0;AL;2017;1;18;11.0;7.99;4.308181818181819;1.0
0.0;AL;2017;1;19;9.0;7.989999999999999;4.342222222222222;1.0
0.0;AL;2017;1;20;11.0;7.99;4.34909090909091;1.0
0.0;AL;2017;1;21;9.0;7.989999999999999;4.337777777777777;1.0
0.0;AL;2017;1;23;9.0;7.989999999999999;4.327777777777778;1.0
0.0;AL;2017;1;24;6.0;7.989999999999999;4.31;1.0
0.0;AL;2017;1;25;14.0;7.99;4.304285714285714;1.0
0.0;AL;2017;1;26;11.0;7.917272727272731;4.330909090909091;0.0
0.0;AL;2017;1;27;7.0;7.99;4.314285714285714;1.0
0.0;AL;2017;1;29;7.0;7.99;4.357142857142857;1.0
0.0;AL;2017;1;30;8.0;7.99;4.3425;1.0
0.0;AL;2017;1;31;9.0;7.989999999999999;4.35;1.0
0.0;AL;2017;2;1;10.0;7.99;4.309;1.0
0.0;AL;2017;2;2;8.0;7.99;4.295;1.0
0.0;AL;2017;2;3;11.0;7.99;4.354545454545455;1.0
0.0;AL;2017;2;4;14.0;7.99;4.319999999999999;1.0
0.0;AL;2017;2;6;14.0;7.99;4.320714285714286;1.0
0.0;AL;2017;2;8;13.0;7.99;4.336923076923077;1.0
0.0;AL;2017;2;9;7.0;7.87571428571429;4.317142857142857;0.0
0.0;AL;2017;2;10;11.0;7.99;4.329090909090909;1.0
0.0;AL;2017;2;11;12.0;7.989999999999999;4.314166666666667;1.0
0.0;AL;2017;2;13;9.0;7.989999999999999;4.303333333333333;1.0
0.0;AL;2017;2;15;7.0;7.99;4.311428571428571;1.0
0.0;AL;2017;2;16;9.0;7.723333333333331;4.346666666666667;0.0
0.0;AL;2017;2;17;39.0;5.91307692307692;4.325384615384615;0.0
