SAP;Produto;UF;Ano;Mes;Dia;Preço;QTD;CMV/QTD;DPPsic
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;AL;2017;1;2;7.99;12.0;4.299166666666667;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;AM;2017;1;2;7.865;24.0;3.5004166666666667;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;AP;2017;1;2;7.99;11.0;3.63;1
4263231;JG CAMA QUEEN PRATA 150FIOS MALIBU SANTI;AP;2017;1;2;129.99;1.0;47.41;1
2158151;T VISITA P BORDA DESIRE AZUL 6238;BA;2017;1;2;4.19;10.0;1.779;0
2158154;T VISITA P BORDA DESIRE AGUA 6243;BA;2017;1;2;4.99;12.0;1.8233333333333333;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;BA;2017;1;2;7.87188976377953;127.0;3.2065354330708664;0
2158151;T VISITA P BORDA DESIRE AZUL 6238;CE;2017;1;2;4.59;5.0;1.7719999999999998;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;CE;2017;1;2;7.99;74.0;4.064459459459459;1
2158154;T VISITA P BORDA DESIRE AGUA 6243;DF;2017;1;2;4.99;4.0;1.7975;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;DF;2017;1;2;7.78310344827586;58.0;4.579655172413793;0
2158151;T VISITA P BORDA DESIRE AZUL 6238;ES;2017;1;2;4.49;2.0;1.755;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;ES;2017;1;2;8.02846153846154;26.0;4.591538461538462;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;GO;2017;1;2;7.85206896551724;29.0;3.260689655172414;0
2158154;T VISITA P BORDA DESIRE AGUA 6243;MA;2017;1;2;4.99;4.0;1.7725;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;MA;2017;1;2;7.99;22.0;3.2609090909090908;1
2158151;T VISITA P BORDA DESIRE AZUL 6238;MG;2017;1;2;4.32333333333333;6.0;1.7583333333333335;0
2158154;T VISITA P BORDA DESIRE AGUA 6243;MG;2017;1;2;4.91307692307692;13.0;1.7807692307692309;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;MG;2017;1;2;7.96029702970297;101.0;4.446732673267327;0
2158151;T VISITA P BORDA DESIRE AZUL 6238;MS;2017;1;2;4.65666666666667;3.0;1.7433333333333334;0
2158154;T VISITA P BORDA DESIRE AGUA 6243;MS;2017;1;2;4.99;4.0;1.78;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;MS;2017;1;2;7.99;42.0;4.463333333333334;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;MT;2017;1;2;8.04555555555556;18.0;3.2594444444444446;0
2158151;T VISITA P BORDA DESIRE AZUL 6238;PA;2017;1;2;3.99;3.0;1.7766666666666666;1
2158154;T VISITA P BORDA DESIRE AGUA 6243;PA;2017;1;2;4.99;7.0;1.8185714285714287;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;PA;2017;1;2;7.98101123595506;89.0;4.119662921348314;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;PB;2017;1;2;7.99;22.0;3.246818181818182;1
2158151;T VISITA P BORDA DESIRE AZUL 6238;PE;2017;1;2;3.99;4.0;1.745;1
2158154;T VISITA P BORDA DESIRE AGUA 6243;PE;2017;1;2;4.99;4.0;1.7925;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;PE;2017;1;2;7.94737704918033;61.0;3.2627868852459017;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;PI;2017;1;2;7.99;11.0;3.2845454545454547;1
2158151;T VISITA P BORDA DESIRE AZUL 6238;PR;2017;1;2;4.99;5.0;1.784;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;PR;2017;1;2;7.67666666666667;60.0;4.430666666666666;0
2158151;T VISITA P BORDA DESIRE AZUL 6238;RJ;2017;1;2;4.76777777777778;9.0;1.7777777777777777;0
2158154;T VISITA P BORDA DESIRE AGUA 6243;RJ;2017;1;2;4.99;10.0;1.766;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;RJ;2017;1;2;7.98953586497891;237.0;4.490464135021097;0
4263231;JG CAMA QUEEN PRATA 150FIOS MALIBU SANTI;RJ;2017;1;2;129.99;2.0;55.93;1
2158151;T VISITA P BORDA DESIRE AZUL 6238;RN;2017;1;2;3.99;2.0;1.745;1
2158154;T VISITA P BORDA DESIRE AGUA 6243;RN;2017;1;2;4.79;5.0;1.7260000000000002;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;RN;2017;1;2;7.99;20.0;3.2695;1
2158151;T VISITA P BORDA DESIRE AZUL 6238;RO;2017;1;2;4.99;5.0;1.7920000000000005;1
2158154;T VISITA P BORDA DESIRE AGUA 6243;RO;2017;1;2;4.99;3.0;1.78;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;RO;2017;1;2;7.99;14.0;3.2478571428571428;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;RR;2017;1;2;7.99;7.0;2.7471428571428573;1
2158151;T VISITA P BORDA DESIRE AZUL 6238;RS;2017;1;2;4.65666666666667;9.0;1.7977777777777777;0
2158154;T VISITA P BORDA DESIRE AGUA 6243;RS;2017;1;2;4.74;4.0;1.7875;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;RS;2017;1;2;7.93736842105263;38.0;4.442368421052632;0
2158151;T VISITA P BORDA DESIRE AZUL 6238;SC;2017;1;2;4.49;4.0;1.79;0
2158154;T VISITA P BORDA DESIRE AGUA 6243;SC;2017;1;2;4.99;3.0;1.7533333333333332;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;SC;2017;1;2;7.85363636363637;22.0;4.243181818181818;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;SE;2017;1;2;7.99;17.0;3.258235294117647;1
2158151;T VISITA P BORDA DESIRE AZUL 6238;SP;2017;1;2;4.53545454545455;11.0;1.7763636363636364;0
2158154;T VISITA P BORDA DESIRE AGUA 6243;SP;2017;1;2;4.91307692307692;13.0;1.811538461538461;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;SP;2017;1;2;7.92174603174604;252.0;4.22218253968254;0
2158154;T VISITA P BORDA DESIRE AGUA 6243;TO;2017;1;2;4.99;5.0;1.766;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;TO;2017;1;2;7.75;25.0;3.264;0
2158154;T VISITA P BORDA DESIRE AGUA 6243;AL;2017;1;3;4.99;4.0;1.75;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;AL;2017;1;3;7.99;17.0;4.307058823529411;1
2158154;T VISITA P BORDA DESIRE AGUA 6243;AM;2017;1;3;4.99;6.0;1.5599999999999998;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;AM;2017;1;3;7.99;13.0;3.5053846153846155;1
2158151;T VISITA P BORDA DESIRE AZUL 6238;AP;2017;1;3;4.49;2.0;1.505;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;AP;2017;1;3;7.99;14.0;3.6371428571428575;1
2158151;T VISITA P BORDA DESIRE AZUL 6238;BA;2017;1;3;4.59;5.0;1.784;0
2158154;T VISITA P BORDA DESIRE AGUA 6243;BA;2017;1;3;4.99;12.0;1.805;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;BA;2017;1;3;7.98130434782609;115.0;3.258086956521739;0
